,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,S06,S06,S06,S06,off,off,S07,S07,S07,S07,S07,S07,off,off,S12,S12,S12,S12,S12,off,off,S09,S09,S09,S09,S09,off,off
1,oc,off,oc,oc,oc,off,oc,oc,oc,off,off,oc,oc,oc,oc,oc,oc,oc,oc,off,off,S15,S15,S15,S15,S15,off,off
2,S23,S23,S23,S23,S23,off,off,S18,S18,S18,S18,S18,off,off,S06,S06,S06,S06,S06,off,off,S06,S06,S06,S06,S06,off,off
3,S07,S07,off,S08,S08,S08,off,S09,S09,off,S08,S08,S08,off,S09,S09,off,S09,S09,off,S08,S08,S08,off,S08,S08,S08,off
4,S15,S15,S15,off,off,S15,S15,S15,S15,off,S15,S15,off,S15,S15,S15,S15,S15,S15,off,off,S12,S12,S12,S12,S12,off,off
5,S07,S07,S07,S07,off,off,S06,S06,off,S06,S06,S06,off,S06,S06,S06,S06,S06,S06,off,off,S09,S09,S09,off,S08,S08,off
6,S09,S09,off,S09,S09,S09,off,S09,S09,S09,S09,S09,off,off,S07,S07,off,S08,S08,S08,off,S08,S08,S08,off,S09,S09,off
7,S09,S09,off,S08,S08,S08,off,S07,S07,off,S07,S07,S07,off,S08,S08,S08,off,S09,S09,off,S08,S08,S08,S08,S08,off,off
8,S18,S18,S18,off,off,S18,S18,S18,S18,S18,off,off,S18,S18,S18,S18,S18,off,off,S18,S18,S18,S18,S18,off,off,S18,S18
9,S09,S09,S09,S09,S09,off,off,S06,S06,off,S06,S06,S06,off,S07,S07,S07,off,S06,S06,off,S07,S07,S07,off,off,S06,S06
10,S07,S07,S07,S07,S07,off,off,S09,S09,S09,S09,S09,off,off,S18,S18,S18,S18,S18,off,off,S12,S12,S12,S12,off,off,S12
11,S06,S06,S06,S06,S06,off,off,S08,S08,off,off,S08,S08,S08,S08,off,S07,S07,S07,S07,off,S07,S07,S07,S07,S07,off,off
12,off,S06,S06,S06,S06,S06,off,S07,S07,S07,S07,S07,off,off,S09,S09,S09,S09,S09,off,off,S18,S18,S18,S18,S18,off,off
13,S08,S08,S08,S08,S08,off,off,off,S23,S23,S23,S23,S23,off,S23,S23,S23,S23,S23,off,off,S23,S23,off,S23,S23,S23,off
14,S23,vac,off,off,S23,S23,S23,S23,vac,off,off,S23,S23,S23,S23,S23,off,S23,S23,off,S23,S23,S23,S23,S23,S23,off,off
15,S18,S18,S18,S18,S18,off,off,S12,S12,S12,S12,S12,off,off,S06,S06,off,off,S06,S06,S06,S06,off,S07,S07,S07,S07,off
16,off,S23,S23,S23,off,S23,S23,S23,S23,S23,S23,off,off,S23,S23,S23,S23,off,off,S23,S23,S23,off,S23,S23,S23,S23,off
17,S12,S12,S12,S12,S12,off,off,S15,S15,S15,off,off,S15,S15,S15,S15,S15,off,off,S15,S15,S15,S15,S15,off,off,S15,S15
18,off,off,S12,S12,S12,S12,S12,S12,off,off,S12,S12,S12,S12,S12,S12,off,off,S12,S12,S12,S12,S12,S12,off,S12,S12,off
19,S09,S09,S09,off,S08,S08,off,vac,vac,vac,vac,vac,off,off,S12,S12,S12,S12,S12,off,off,S09,S09,S09,S09,S09,off,off
20,S08,S08,S08,off,S07,S07,off,S08,S08,S08,off,S09,S09,off,S08,S08,off,S07,S07,S07,off,S06,S06,S06,S06,S06,off,off
21,S12,S12,S12,S12,S12,off,off,S06,S06,S06,S06,S06,off,off,S08,S08,S08,S08,S08,off,off,S09,S09,S09,S09,off,off,S08
22,S15,S15,S15,S15,S15,off,off,S08,S08,S08,S08,S08,off,off,S09,S09,S09,S09,S09,off,off,S15,S15,S15,S15,S15,off,off
